query_id,generation_length,gen_len_budget,coverage,lmcache_offload_gb,compute_cost,comm_mem_cost,gpu_mem_cost,total_cost
0,[1024],1024,0.0,0.0418,17.174162571264,0.5045455922659328,28.998911726316422,46.677619889846355
1,[1024],1024,0.0,0.0404,17.171142672383997,0.48764693606563836,28.7807149832772,46.43950459172683
2,[1024],1024,0.0,0.056,17.205569519616,0.6759462480117759,31.26821376795607,49.149729535583845
3,[1024],1024,0.0,0.0486,17.189262065663996,0.5866247795245056,30.0899265048635,47.865813350052
0,[2048],2048,0.0,0.0418,34.966800433151995,0.5045455922659328,102.73554108736603,138.20688711278396
1,[2048],2048,0.0,0.0404,34.96076063539199,0.48764693606563836,102.29893015783081,137.74733772928843
2,[2048],2048,0.0,0.056,35.029614329855995,0.6759462480117759,107.27635066856406,142.98191124643182
3,[2048],2048,0.0,0.0486,34.996999421952,0.5866247795245056,104.9186267983931,140.5022509998696
0,[3865],4096,0.0,0.0418,68.06067161472,0.5045455922659328,343.6798547942716,412.24507200125754
1,[3870],4096,0.0,0.0404,68.14301250815998,0.48764693606563836,343.71195985577646,412.34261930000207
2,[3813],4096,1.0,0.056,67.203452203776,0.6759462480117759,343.28279739982804,411.1621958516158
3,[3840],4096,0.0,0.0486,67.64874596351999,0.5866247795245056,343.50336341729866,411.73873416034314
0,[3865],6144,0.0,0.0418,68.06067161472,0.5045455922659328,343.6798547942716,412.24507200125754
1,[3870],6144,0.0,0.0404,68.14301250815998,0.48764693606563836,343.71195985577646,412.34261930000207
2,[3813],6144,1.0,0.056,67.203452203776,0.6759462480117759,343.28279739982804,411.1621958516158
3,[3840],6144,0.0,0.0486,67.64874596351999,0.5866247795245056,343.50336341729866,411.73873416034314
0,[3865],8192,0.0,0.0418,68.06067161472,0.5045455922659328,343.6798547942716,412.24507200125754
1,[3870],8192,0.0,0.0404,68.14301250815998,0.48764693606563836,343.71195985577646,412.34261930000207
2,[3813],8192,1.0,0.056,67.203452203776,0.6759462480117759,343.28279739982804,411.1621958516158
3,[3840],8192,0.0,0.0486,67.64874596351999,0.5866247795245056,343.50336341729866,411.73873416034314
0,[3865],10240,0.0,0.0418,68.06067161472,0.5045455922659328,343.6798547942716,412.24507200125754
1,[3870],10240,0.0,0.0404,68.14301250815998,0.48764693606563836,343.71195985577646,412.34261930000207
2,[3813],10240,1.0,0.056,67.203452203776,0.6759462480117759,343.28279739982804,411.1621958516158
3,[3840],10240,0.0,0.0486,67.64874596351999,0.5866247795245056,343.50336341729866,411.73873416034314
0,[3865],12288,0.0,0.0418,68.06067161472,0.5045455922659328,343.6798547942716,412.24507200125754
1,[3870],12288,0.0,0.0404,68.14301250815998,0.48764693606563836,343.71195985577646,412.34261930000207
2,[3813],12288,1.0,0.056,67.203452203776,0.6759462480117759,343.28279739982804,411.1621958516158
3,[3840],12288,0.0,0.0486,67.64874596351999,0.5866247795245056,343.50336341729866,411.73873416034314
0,[3865],14336,0.0,0.0418,68.06067161472,0.5045455922659328,343.6798547942716,412.24507200125754
1,[3870],14336,0.0,0.0404,68.14301250815998,0.48764693606563836,343.71195985577646,412.34261930000207
2,[3813],14336,1.0,0.056,67.203452203776,0.6759462480117759,343.28279739982804,411.1621958516158
3,[3840],14336,0.0,0.0486,67.64874596351999,0.5866247795245056,343.50336341729866,411.73873416034314
0,[3865],16384,0.0,0.0418,68.06067161472,0.5045455922659328,343.6798547942716,412.24507200125754
1,[3870],16384,0.0,0.0404,68.14301250815998,0.48764693606563836,343.71195985577646,412.34261930000207
2,[3813],16384,1.0,0.056,67.203452203776,0.6759462480117759,343.28279739982804,411.1621958516158
3,[3840],16384,0.0,0.0486,67.64874596351999,0.5866247795245056,343.50336341729866,411.73873416034314
0,[3865],18432,0.0,0.0418,68.06067161472,0.5045455922659328,343.6798547942716,412.24507200125754
1,[3870],18432,0.0,0.0404,68.14301250815998,0.48764693606563836,343.71195985577646,412.34261930000207
2,[3813],18432,1.0,0.056,67.203452203776,0.6759462480117759,343.28279739982804,411.1621958516158
3,[3840],18432,0.0,0.0486,67.64874596351999,0.5866247795245056,343.50336341729866,411.73873416034314
0,[3865],20480,0.0,0.0418,68.06067161472,0.5045455922659328,343.6798547942716,412.24507200125754
1,[3870],20480,0.0,0.0404,68.14301250815998,0.48764693606563836,343.71195985577646,412.34261930000207
2,[3813],20480,1.0,0.056,67.203452203776,0.6759462480117759,343.28279739982804,411.1621958516158
3,[3840],20480,0.0,0.0486,67.64874596351999,0.5866247795245056,343.50336341729866,411.73873416034314
0,[3865],22528,0.0,0.0418,68.06067161472,0.5045455922659328,343.6798547942716,412.24507200125754
1,[3870],22528,0.0,0.0404,68.14301250815998,0.48764693606563836,343.71195985577646,412.34261930000207
2,[3813],22528,1.0,0.056,67.203452203776,0.6759462480117759,343.28279739982804,411.1621958516158
3,[3840],22528,0.0,0.0486,67.64874596351999,0.5866247795245056,343.50336341729866,411.73873416034314
0,[3865],24576,0.0,0.0418,68.06067161472,0.5045455922659328,343.6798547942716,412.24507200125754
1,[3870],24576,0.0,0.0404,68.14301250815998,0.48764693606563836,343.71195985577646,412.34261930000207
2,[3813],24576,1.0,0.056,67.203452203776,0.6759462480117759,343.28279739982804,411.1621958516158
3,[3840],24576,0.0,0.0486,67.64874596351999,0.5866247795245056,343.50336341729866,411.73873416034314
0,[3865],26624,0.0,0.0418,68.06067161472,0.5045455922659328,343.6798547942716,412.24507200125754
1,[3870],26624,0.0,0.0404,68.14301250815998,0.48764693606563836,343.71195985577646,412.34261930000207
2,[3813],26624,1.0,0.056,67.203452203776,0.6759462480117759,343.28279739982804,411.1621958516158
3,[3840],26624,0.0,0.0486,67.64874596351999,0.5866247795245056,343.50336341729866,411.73873416034314
0,[3865],28672,0.0,0.0418,68.06067161472,0.5045455922659328,343.6798547942716,412.24507200125754
1,[3870],28672,0.0,0.0404,68.14301250815998,0.48764693606563836,343.71195985577646,412.34261930000207
2,[3813],28672,1.0,0.056,67.203452203776,0.6759462480117759,343.28279739982804,411.1621958516158
3,[3840],28672,0.0,0.0486,67.64874596351999,0.5866247795245056,343.50336341729866,411.73873416034314
0,[3865],30720,0.0,0.0418,68.06067161472,0.5045455922659328,343.6798547942716,412.24507200125754
1,[3870],30720,0.0,0.0404,68.14301250815998,0.48764693606563836,343.71195985577646,412.34261930000207
2,[3813],30720,1.0,0.056,67.203452203776,0.6759462480117759,343.28279739982804,411.1621958516158
3,[3840],30720,0.0,0.0486,67.64874596351999,0.5866247795245056,343.50336341729866,411.73873416034314
0,[3865],32768,0.0,0.0418,68.06067161472,0.5045455922659328,343.6798547942716,412.24507200125754
1,[3870],32768,0.0,0.0404,68.14301250815998,0.48764693606563836,343.71195985577646,412.34261930000207
2,[3813],32768,1.0,0.056,67.203452203776,0.6759462480117759,343.28279739982804,411.1621958516158
3,[3840],32768,0.0,0.0486,67.64874596351999,0.5866247795245056,343.50336341729866,411.73873416034314
