query_id,generation_length,gen_len_budget,coverage,compute_cost,memory_cost,total_cost
0,[2048],2048,0.0,35.029614329855995,107.2850484068352,142.3146627366912
1,[2048],2048,0.0,34.996999421952,104.9261751926784,139.9231746146304
2,[2048],2048,0.0,34.96076063539199,102.3052049547264,137.2659655901184
3,[2048],2048,0.0,34.966800433151995,102.7420333277184,137.7088337608704
4,[2048],2048,0.0,34.947473080319995,101.344182534144,136.291655614464
0,[4096],4096,1.0,72.533129822208,393.49499839119363,466.0281282134016
1,[4096],4096,0.0,72.4679000064,388.77725196288,461.24515196927996
2,[4096],4096,0.0,72.39542243328,383.535311486976,455.930733920256
3,[4096],4096,0.0,72.4075020288,384.40896823296,456.81647026175995
4,[4096],4096,0.0,72.368847323136,381.61326664581117,453.98211396894715
0,[6144],6144,1.0,112.51054647705598,858.6298499530752,971.1403964301312
1,[6144],6144,0.0,112.41270175334398,851.5532303106048,963.9659320639488
2,[6144],6144,0.0,112.30398539366398,843.6903195967489,955.9943049904128
3,[6144],6144,0.0,112.32210478694398,845.0008047157248,957.3229095026688
4,[6144],6144,0.0,112.26412272844799,840.8072523350016,953.0713750634496
0,[8192],8192,1.0,154.9618642944,1502.68960309248,1657.6514673868799
1,[8192],8192,0.0,154.831404662784,1493.2541102358527,1648.0855148986368
2,[8192],8192,0.0,154.686449516544,1482.7702292840447,1637.4566788005886
3,[8192],8192,0.0,154.710608707584,1484.5175427760128,1639.2281514835968
4,[8192],8192,0.0,154.63329929625598,1478.9261396017152,1633.5594388979712
0,[10240],10240,1.0,199.88708327423996,2325.674257809408,2525.561341083648
1,[10240],10240,1.0,199.72400873471997,2313.879891738624,2513.603900473344
2,[10240],10240,0.0,199.54281480191997,2300.775040548864,2500.317855350784
3,[10240],10240,0.0,199.57301379071995,2302.959182413824,2502.5321962045437
4,[10240],10240,0.0,199.47637702655996,2295.969928445952,2495.446305472512
0,[12288],12288,1.0,247.28620341657597,3327.5838141038594,3574.8700175204353
1,[12288],12288,1.0,247.09051396915197,3313.4305748189186,3560.5210887880703
2,[12288],12288,0.0,246.87308124979197,3297.7047533912064,3544.5778346409984
3,[12288],12288,0.0,246.90932003635197,3300.3257236291583,3547.23504366551
4,[12288],12288,0.0,246.79335591935995,3291.9386188677117,3538.7319747870715
0,[14336],14336,1.0,297.159224721408,4508.418271975834,4805.577496697242
1,[14336],14336,1.0,296.93092036608,4491.906159476736,4788.837079842816
2,[14336],14336,0.0,296.67724886016,4473.559367811072,4770.236616671232
3,[14336],14336,0.0,296.71952744448,4476.6171664220155,4773.336693866496
4,[14336],14336,0.0,296.584235974656,4466.832210866995,4763.416446841651
0,[16384],16384,1.0,349.506147188736,5868.177631425331,6217.683778614067
1,[16384],16384,1.0,349.24522792550397,5849.306645712077,6198.551873637581
2,[16384],16384,0.0,348.955317633024,5828.338883808461,6177.294201441485
3,[16384],16384,0.0,349.003636015104,5831.833510792397,6180.837146807501
4,[16384],16384,0.0,348.849017192448,5820.650704443802,6169.49972163625
0,[18432],18432,1.0,404.3269708185599,7406.861892452352,7811.1888632709115
1,[18432],18432,1.0,404.0334366474239,7385.632033524941,7789.665470172365
2,[18432],18432,0.0,403.70728756838395,7362.043301383373,7765.750588951757
3,[18432],18432,0.0,403.76164574822394,7365.974756740301,7769.736402488525
4,[18432],18432,0.0,403.5876995727359,7353.394099598131,7756.981799170867
0,[20480],20480,1.0,461.62169561087995,9124.471055056896,9586.092750667776
1,[20480],20480,1.0,461.29554653183993,9100.882322915328,9562.177869447167
2,[20480],20480,0.0,460.93315866623993,9074.672620535808,9535.605779202047
3,[20480],20480,0.0,460.99355664383995,9079.040904265728,9540.034460909568
4,[20480],20480,0.0,460.8002831155199,9065.062396329984,9525.862679445503
0,[22528],22528,1.0,521.3903215656959,11021.005119238964,11542.39544080466
1,[22528],22528,1.0,521.031557578752,10995.057513883237,11516.089071461989
2,[22528],22528,0.0,520.6329309265919,10966.226841265765,11486.859772192356
3,[22528],22528,0.0,520.6993687019519,10971.031953368678,11491.73132207063
4,[22528],22528,0.0,520.4867678208,10955.65559463936,11476.14236246016
0,[24364],24576,1.0,577.074985399296,12873.319525004084,13450.394510403381
1,[24391],24576,1.0,577.52027915904,12873.538941677567,13451.059220836607
2,[24421],24576,0.0,578.01454570368,12873.746264518655,13451.760810222335
3,[24415],24576,0.0,577.90133430912,12872.666351407104,13450.567685716223
4,[24432],24576,0.0,578.195643764736,12873.812663284532,13452.00830704927
